TravelDate,DayOfWeek,TubeJourneyCount,BusJourneyCount
20250101,Wednesday,1523000,1959000
20250102,Thursday,2711000,3913000
20250103,Friday,2742000,4051000
20250104,Saturday,2365000,3543000
20250105,Sunday,1502000,2557000
20250106,Monday,2721000,4363000
20250107,Tuesday,3182000,4741000
20250108,Wednesday,3177000,4712000
20250109,Thursday,3337000,4811000
20250110,Friday,2943000,4785000
20250111,Saturday,2629000,3799000
20250112,Sunday,1784000,2759000
20250113,Monday,3015000,4740000
20250114,Tuesday,3533000,4905000
20250115,Wednesday,3566000,4897000
20250116,Thursday,3634000,4943000
20250117,Friday,3224000,4984000
20250118,Saturday,2931000,4006000
20250119,Sunday,1856000,2924000
20250120,Monday,3161000,4806000
20250121,Tuesday,3587000,4963000
20250122,Wednesday,3670000,4946000
20250123,Thursday,3743000,4927000
20250124,Friday,3285000,5027000
20250125,Saturday,3067000,4339000
20250126,Sunday,1928000,2935000
20250127,Monday,3204000,4803000
20250128,Tuesday,3654000,5014000
20250129,Wednesday,3694000,5094000
20250130,Thursday,3873000,5164000
20250131,Friday,3407000,5091000
20250201,Saturday,3108000,4206000
20250202,Sunday,2166000,3233000
20250203,Monday,3217000,4879000
20250204,Tuesday,3633000,5053000
20250205,Wednesday,3665000,5085000
20250206,Thursday,3806000,5123000
20250207,Friday,3396000,4996000
20250208,Saturday,3026000,4013000
20250209,Sunday,2008000,2999000
20250210,Monday,3209000,4807000
20250211,Tuesday,3653000,5027000
20250212,Wednesday,3661000,5056000
20250213,Thursday,3820000,5130000
20250214,Friday,3518000,5212000
20250215,Saturday,3169000,4088000
20250216,Sunday,2245000,3126000
20250217,Monday,3287000,4384000
20250218,Tuesday,3700000,4544000
20250219,Wednesday,3703000,4487000
20250220,Thursday,3822000,4474000
20250221,Friday,3500000,4623000
20250222,Saturday,3175000,4123000
20250223,Sunday,2015000,3005000
20250224,Monday,3173000,4830000
20250225,Tuesday,3719000,5141000
20250226,Wednesday,3808000,5041000
20250227,Thursday,3952000,5203000
20250228,Friday,3541000,5310000
20250301,Saturday,3048000,4233000
20250302,Sunday,2046000,3195000
20250303,Monday,3211000,4940000
20250304,Tuesday,3635000,5108000
20250305,Wednesday,3659000,5167000
20250306,Thursday,3858000,5159000
20250307,Friday,3428000,5234000
20250308,Saturday,3252000,4388000
20250309,Sunday,2198000,3287000
20250310,Monday,3261000,4953000
20250311,Tuesday,3646000,5130000
20250312,Wednesday,3722000,5123000
20250313,Thursday,3862000,5155000
20250314,Friday,3433000,5211000
20250315,Saturday,3134000,4311000
20250316,Sunday,2292000,3188000
20250317,Monday,3235000,4938000
20250318,Tuesday,3671000,5161000
20250319,Wednesday,3697000,5136000
20250320,Thursday,3879000,5226000
20250321,Friday,3486000,5185000
20250322,Saturday,3118000,4242000
20250323,Sunday,2021000,3111000
20250324,Monday,3287000,4955000
20250325,Tuesday,3662000,5115000
20250326,Wednesday,3704000,5161000
20250327,Thursday,3825000,5249000
20250328,Friday,3458000,5287000
20250329,Saturday,3109000,4416000
20250330,Sunday,2152000,3450000
20250331,Monday,3125000,4781000
20250401,Tuesday,3623000,5083000
20250402,Wednesday,3626000,5112000
20250403,Thursday,3751000,5181000
20250404,Friday,3338000,5266000
20250405,Saturday,3050000,4281000
20250406,Sunday,2267000,3272000
20250407,Monday,3104000,4498000
20250408,Tuesday,3590000,4633000
20250409,Wednesday,3574000,4594000
20250410,Thursday,3695000,4625000
20250411,Friday,3354000,4749000
20250412,Saturday,3123000,4205000
20250413,Sunday,2227000,3201000
20250414,Monday,3100000,4387000
20250415,Tuesday,3486000,4456000
20250416,Wednesday,3594000,4655000
20250417,Thursday,3562000,4757000
20250418,Friday,2555000,3866000
20250419,Saturday,2713000,4059000
20250420,Sunday,1806000,2820000
