station_from_id,station_from_name,station_from_lat,station_from_lon,station_to_id,station_to_name,station_to_lat,station_to_lon,line,edge_distance_km
940GZZLUEAC,Elephant & Castle Underground Station,51.494536,-0.100606,940GZZLULBN,Lambeth North Underground Station,51.498808,-0.112315,bakerloo,0.9394991702610342
940GZZLULBN,Lambeth North Underground Station,51.498808,-0.112315,940GZZLUWLO,Waterloo Underground Station,51.503299,-0.11478,bakerloo,0.527721070905956
940GZZLUWLO,Waterloo Underground Station,51.503299,-0.11478,940GZZLUEMB,Embankment Underground Station,51.507058,-0.122666,bakerloo,0.687472130074269
940GZZLUEMB,Embankment Underground Station,51.507058,-0.122666,940GZZLUCHX,Charing Cross Underground Station,51.50741,-0.127277,bakerloo,0.321516254857118
940GZZLUCHX,Charing Cross Underground Station,51.50741,-0.127277,940GZZLUPCC,Piccadilly Circus Underground Station,51.51005,-0.133798,bakerloo,0.5383736503872678
940GZZLUPCC,Piccadilly Circus Underground Station,51.51005,-0.133798,940GZZLUOXC,Oxford Circus Underground Station,51.515224,-0.141903,bakerloo,0.8034788679826605
940GZZLUOXC,Oxford Circus Underground Station,51.515224,-0.141903,940GZZLURGP,Regent's Park Underground Station,51.523344,-0.146444,bakerloo,0.9560090539033586
940GZZLURGP,Regent's Park Underground Station,51.523344,-0.146444,940GZZLUBST,Baker Street Underground Station,51.522883,-0.15713,bakerloo,0.7410897113078355
940GZZLUBST,Baker Street Underground Station,51.522883,-0.15713,940GZZLUMYB,Marylebone Underground Station,51.522322,-0.163207,bakerloo,0.4250465672603034
940GZZLUMYB,Marylebone Underground Station,51.522322,-0.163207,940GZZLUERB,Edgware Road (Bakerloo) Underground Station,51.520299,-0.17015,bakerloo,0.5304333012178056
940GZZLUERB,Edgware Road (Bakerloo) Underground Station,51.520299,-0.17015,940GZZLUPAC,Paddington Underground Station,51.516581,-0.175689,bakerloo,0.5637413497513417
940GZZLUPAC,Paddington Underground Station,51.516581,-0.175689,940GZZLUWKA,Warwick Avenue Underground Station,51.523263,-0.183783,bakerloo,0.9304215639734826
940GZZLUWKA,Warwick Avenue Underground Station,51.523263,-0.183783,940GZZLUMVL,Maida Vale Underground Station,51.529777,-0.185758,bakerloo,0.737097612271158
940GZZLUMVL,Maida Vale Underground Station,51.529777,-0.185758,940GZZLUKPK,Kilburn Park Underground Station,51.534979,-0.194232,bakerloo,0.823510025389763
940GZZLUKPK,Kilburn Park Underground Station,51.534979,-0.194232,940GZZLUQPS,Queen's Park Underground Station,51.534158,-0.204574,bakerloo,0.7211367255879518
940GZZLUQPS,Queen's Park Underground Station,51.534158,-0.204574,940GZZLUKSL,Kensal Green Underground Station,51.530539,-0.225016,bakerloo,1.4701476465236152
940GZZLUKSL,Kensal Green Underground Station,51.530539,-0.225016,940GZZLUWJN,Willesden Junction Underground Station,51.532259,-0.244283,bakerloo,1.346404766510255
940GZZLUWJN,Willesden Junction Underground Station,51.532259,-0.244283,940GZZLUHSN,Harlesden Underground Station,51.53631,-0.257883,bakerloo,1.0429781990121614
940GZZLUHSN,Harlesden Underground Station,51.53631,-0.257883,940GZZLUSGP,Stonebridge Park Underground Station,51.543959,-0.275892,bakerloo,1.50819592023835
940GZZLUSGP,Stonebridge Park Underground Station,51.543959,-0.275892,940GZZLUWYC,Wembley Central Underground Station,51.552304,-0.296852,bakerloo,1.7209273811168178
