station_id,station_name,lat,lon,lines_served,num_lines
940GZZDLABR,Abbey Road DLR Station,51.531926,0.003737,['dlr'],1
910GABWDXR,Abbey Wood,51.491284,0.121087,['elizabeth'],1
910GACTONML,Acton Main Line Rail Station,51.51718,-0.266756,['elizabeth'],1
940GZZLUACT,Acton Town Underground Station,51.503057,-0.280462,"['district', 'piccadilly']",2
940GZZLUADE,Aldgate East Underground Station,51.515037,-0.072384,"['district', 'hammersmith-city']",2
940GZZLUALD,Aldgate Underground Station,51.514246,-0.075689,"['circle', 'metropolitan']",2
940GZZDLALL,All Saints DLR Station,51.511,-0.013135,['dlr'],1
940GZZLUALP,Alperton Underground Station,51.540627,-0.29961,['piccadilly'],1
940GZZLUAMS,Amersham Underground Station,51.674126,-0.607714,['metropolitan'],1
940GZZLUAGL,Angel Underground Station,51.531788,-0.105919,['northern'],1
940GZZLUACY,Archway Underground Station,51.565478,-0.134819,['northern'],1
940GZZLUASG,Arnos Grove Underground Station,51.616446,-0.133062,['piccadilly'],1
940GZZLUASL,Arsenal Underground Station,51.558655,-0.107457,['piccadilly'],1
940GZZLUBST,Baker Street Underground Station,51.522883,-0.15713,"['bakerloo', 'circle', 'hammersmith-city', 'jubilee', 'metropolitan']",5
940GZZLUBLM,Balham Underground Station,51.443288,-0.152997,['northern'],1
940GZZDLBNK,Bank DLR Station,51.513233,-0.088515,"['central', 'circle', 'district', 'dlr', 'northern', 'waterloo-city']",6
940GZZLUBNK,Bank Underground Station,51.513335,-0.088712,"['central', 'circle', 'district', 'dlr', 'northern', 'waterloo-city']",6
940GZZLUBBN,Barbican Underground Station,51.520275,-0.097993,"['circle', 'hammersmith-city', 'metropolitan']",3
940GZZLUBKG,Barking Underground Station,51.539321,0.081053,"['district', 'hammersmith-city']",2
940GZZLUBKE,Barkingside Underground Station,51.585689,0.088585,['central'],1
940GZZLUBSC,Barons Court Underground Station,51.490311,-0.213427,"['district', 'piccadilly']",2
940GZZBPSUST,Battersea Power Station Underground Station,51.479932,-0.142142,['northern'],1
940GZZLUBWT,Bayswater Underground Station,51.512284,-0.187938,"['circle', 'district']",2
940GZZDLBEC,Beckton DLR Station,51.514362,0.061453,['dlr'],1
940GZZDLBPK,Beckton Park DLR Station,51.508793,0.054932,['dlr'],1
940GZZLUBEC,Becontree Underground Station,51.540331,0.127016,['district'],1
940GZZLUBZP,Belsize Park Underground Station,51.550311,-0.164648,['northern'],1
940GZZLUBMY,Bermondsey Underground Station,51.49775,-0.063993,['jubilee'],1
940GZZLUBLG,Bethnal Green Underground Station,51.527222,-0.055506,['central'],1
940GZZLUBKF,Blackfriars Underground Station,51.511581,-0.103659,"['circle', 'district']",2
